episode,reward
0,21.0
1,51.0
2,20.0
3,13.0
4,44.0
5,20.0
6,16.0
7,32.0
8,21.0
9,48.0
10,11.0
11,15.0
12,58.0
13,22.0
14,17.0
15,24.0
16,25.0
17,21.0
18,9.0
19,36.0
20,55.0
21,17.0
22,19.0
23,19.0
24,40.0
25,19.0
26,21.0
27,29.0
28,19.0
29,16.0
30,102.0
31,19.0
32,17.0
33,34.0
34,28.0
35,14.0
36,16.0
37,101.0
38,31.0
39,18.0
40,55.0
41,25.0
42,18.0
43,24.0
44,23.0
45,28.0
46,50.0
47,67.0
48,24.0
49,26.0
50,24.0
51,78.0
52,18.0
53,65.0
54,12.0
55,19.0
56,20.0
57,23.0
58,28.0
59,41.0
60,66.0
61,24.0
62,47.0
63,25.0
64,71.0
65,22.0
66,23.0
67,23.0
68,22.0
69,15.0
70,19.0
71,93.0
72,24.0
73,39.0
74,18.0
75,18.0
76,27.0
77,81.0
78,26.0
79,38.0
80,15.0
81,22.0
82,24.0
83,18.0
84,38.0
85,10.0
86,40.0
87,59.0
88,29.0
89,44.0
90,76.0
91,64.0
92,30.0
93,40.0
94,14.0
95,61.0
96,30.0
97,32.0
98,25.0
99,36.0
100,55.0
101,53.0
102,125.0
103,47.0
104,63.0
105,21.0
106,27.0
107,49.0
108,100.0
109,25.0
110,46.0
111,55.0
112,116.0
113,12.0
114,97.0
115,28.0
116,33.0
117,21.0
118,16.0
119,54.0
120,72.0
121,50.0
122,17.0
123,29.0
124,78.0
125,15.0
126,77.0
127,90.0
128,31.0
129,59.0
130,24.0
131,55.0
132,86.0
133,46.0
134,12.0
135,38.0
136,75.0
137,52.0
138,110.0
139,143.0
140,46.0
141,42.0
142,41.0
143,170.0
144,54.0
145,96.0
146,105.0
147,120.0
148,147.0
149,177.0
150,55.0
151,40.0
152,38.0
153,90.0
154,71.0
155,21.0
156,54.0
157,71.0
158,89.0
159,57.0
160,149.0
161,78.0
162,87.0
163,26.0
164,90.0
165,76.0
166,133.0
167,29.0
168,140.0
169,192.0
170,123.0
171,124.0
172,46.0
173,134.0
174,24.0
175,114.0
176,86.0
177,245.0
178,201.0
179,104.0
180,156.0
181,74.0
182,120.0
183,171.0
184,119.0
185,28.0
186,97.0
187,29.0
188,184.0
189,165.0
190,143.0
191,141.0
192,134.0
193,207.0
194,166.0
195,131.0
196,126.0
197,177.0
198,45.0
199,122.0
200,202.0
201,153.0
202,46.0
203,245.0
204,130.0
205,243.0
206,102.0
207,296.0
208,200.0
209,154.0
210,134.0
211,295.0
212,129.0
213,193.0
214,109.0
215,374.0
216,146.0
217,133.0
218,178.0
219,119.0
220,172.0
221,184.0
222,376.0
223,182.0
224,234.0
225,207.0
226,203.0
227,198.0
228,188.0
229,113.0
230,193.0
231,168.0
232,248.0
233,212.0
234,54.0
235,135.0
236,179.0
237,264.0
238,131.0
239,162.0
240,173.0
241,143.0
242,114.0
243,126.0
244,101.0
245,116.0
246,114.0
247,121.0
248,130.0
249,133.0
250,123.0
251,140.0
252,137.0
253,146.0
254,144.0
255,49.0
256,132.0
257,141.0
258,182.0
259,159.0
260,227.0
261,278.0
262,214.0
263,397.0
264,262.0
265,214.0
266,262.0
267,283.0
268,171.0
269,189.0
270,249.0
271,234.0
272,500.0
